"date","high","low","open","close","volume"
"2024-01-02","473.67","470.49","472.16","472.65",123007793
"2024-01-03","471.19","468.17","470.43","468.79",103585866
"2024-01-04","470.96","467.05","468.30","467.28",84232169
"2024-01-05","470.44","466.43","467.49","467.92",86118913
"2024-01-08","474.75","468.30","468.43","474.60",74879074
"2024-01-09","474.93","471.35","471.87","473.88",65931439
"2024-01-10","477.45","473.87","474.16","476.56",67310640
"2024-01-11","478.12","472.26","477.59","476.35",77940723
"2024-01-12","478.60","475.23","477.84","476.68",58026420
"2024-01-16","476.61","473.06","475.26","474.93",85014870
"2024-01-17","472.79","469.87","471.82","472.29",68843871
"2024-01-18","477.06","472.42","474.01","476.49",91856248
"2024-01-19","482.72","476.54","477.65","482.43",110834483
"2024-01-22","485.22","482.78","484.01","483.45",75844931
"2024-01-23","485.11","482.89","484.01","484.86",49945297
"2024-01-24","488.77","484.88","487.81","485.39",81765039
"2024-01-25","488.31","485.39","487.58","488.03",72524989
"2024-01-26","489.12","486.54","487.59","487.41",76641609
"2024-01-29","491.42","487.17","487.73","491.27",61322751
"2024-01-30","491.62","490.11","490.56","490.89",58618386
"2024-01-31","489.08","482.86","488.62","482.88",126011062
"2024-02-01","489.23","483.80","484.63","489.20",91891637
"2024-02-02","496.05","489.30","489.65","494.35",99228192
"2024-02-05","494.38","490.23","493.70","492.55",75757102
"2024-02-06","494.32","492.05","493.52","493.98",55918602
"2024-02-07","498.53","495.36","496.29","498.10",70556506
"2024-02-08","498.71","497.26","498.10","498.32",52343636
"2024-02-09","501.65","498.49","498.84","501.20",63979375
"2024-02-12","503.50","500.24","501.17","500.98",56502283
"2024-02-13","497.09","490.72","494.53","494.08",113099199
"2024-02-14","499.07","494.40","496.79","498.57",68387827
"2024-02-15","502.20","498.80","499.29","502.01",61682960
"2024-02-16","502.87","498.75","501.70","499.51",75532928
"2024-02-20","498.41","494.45","497.72","496.76",71736740
"2024-02-21","497.37","493.56","495.42","497.21",59603771
"2024-02-22","508.49","503.02","504.01","507.50",76402535
"2024-02-23","510.13","507.10","509.27","507.85",61321818
"2024-02-26","508.75","505.86","508.30","505.99",49551237
"2024-02-27","507.16","504.75","506.70","506.93",48854528
"2024-02-28","506.86","504.96","505.33","506.26",56025154
